"geneid"	"SRR2040653"	"SRR2040654"	"SRR2040655"	"SRR2040656"	"SRR2040657"	"SRR2040658"
"WBGene00199691"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00004824"	"335"	"109"	"52"	"144"	"57"	"45"
"WBGene00197041"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00200616"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00018930"	"221"	"173"	"435"	"170"	"169"	"293"
"WBGene00018935"	"816"	"349"	"470"	"377"	"584"	"588"
"WBGene00018934"	"2208"	"2361"	"3641"	"3588"	"3403"	"4344"
"WBGene00001154"	"504"	"294"	"245"	"260"	"208"	"208"
"WBGene00220182"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00021935"	"292"	"102"	"120"	"127"	"102"	"114"
"WBGene00185088"	"155"	"41"	"10"	"62"	"19"	"12"
"WBGene00235283"	"12"	"4"	"0"	"2"	"0"	"0"
"WBGene00021936"	"973"	"354"	"210"	"375"	"261"	"208"
"WBGene00220183"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00199601"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00202216"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00021942"	"110"	"13"	"7"	"20"	"1"	"3"
"WBGene00044742"	"1"	"0"	"2"	"0"	"0"	"0"
"WBGene00021943"	"259"	"195"	"99"	"149"	"125"	"163"
"WBGene00201199"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00023184"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00021941"	"140"	"79"	"109"	"211"	"85"	"115"
"WBGene00021945"	"370"	"163"	"397"	"269"	"664"	"567"
"WBGene00044757"	"238"	"46"	"37"	"18"	"22"	"18"
"WBGene00021939"	"165"	"91"	"57"	"139"	"100"	"25"
"WBGene00195533"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00023183"	"0"	"0"	"0"	"0"	"0"	"0"
